src_kind,sink_kind,param_key,src_x,src_y,sink_x,sink_y,euclidean,manhattan,same_controller,same_rack,adjacent,cable_hops,is_outlier
0,0,0,30,0,30,12,12.000000,12,0,0,0,0,1
0,0,0,30,0,30,12,12.000000,12,0,0,0,0,1
0,0,0,30,0,30,12,12.000000,12,0,0,0,0,1
0,0,0,30,0,30,12,12.000000,12,0,0,0,0,1
0,0,0,30,0,30,12,12.000000,12,0,0,0,0,1
0,0,0,30,0,30,12,12.000000,12,0,0,0,0,1
0,0,0,30,0,30,12,12.000000,12,0,0,0,0,1
0,0,0,30,0,30,12,12.000000,12,0,0,0,0,1
0,0,0,30,0,30,12,12.000000,12,0,0,0,0,1
0,0,0,30,0,30,12,12.000000,12,0,0,0,0,1
0,0,0,30,0,30,12,12.000000,12,0,0,0,0,1
0,0,0,30,0,30,12,12.000000,12,0,0,0,0,1
0,0,0,30,0,30,12,12.000000,12,0,0,0,0,1
0,0,0,30,0,30,12,12.000000,12,0,0,0,0,1
0,0,0,30,0,30,12,12.000000,12,0,0,0,0,1
0,0,0,30,0,30,12,12.000000,12,0,0,0,0,1
0,0,0,30,0,30,12,12.000000,12,0,0,0,0,1
0,0,0,30,0,30,12,12.000000,12,0,0,0,0,1
0,0,0,30,0,30,12,12.000000,12,0,0,0,0,1
0,0,0,30,0,30,12,12.000000,12,0,0,0,0,1
0,0,0,30,0,31,0,1.000000,1,1,1,1,0,0
0,0,0,30,0,31,2,2.236068,3,1,1,0,0,0
0,0,0,30,0,31,12,12.041595,13,0,0,0,0,0
0,0,0,30,0,32,12,12.165525,14,0,0,0,0,0
0,0,0,30,0,32,12,12.165525,14,0,0,0,0,0
0,0,0,30,0,32,13,13.152946,15,0,0,0,0,0
0,0,0,30,0,32,15,15.132746,17,0,0,0,0,0
0,0,0,30,0,33,0,3.000000,3,1,1,0,0,0
0,0,0,30,0,33,3,4.242641,6,1,1,0,0,0
0,0,0,30,0,34,2,4.472136,6,1,1,0,0,0
0,0,0,30,0,34,3,5.000000,7,1,1,0,0,1
0,0,0,30,0,34,3,5.000000,7,1,1,0,0,1
0,0,0,30,0,34,3,5.000000,7,1,1,0,0,1
0,0,0,30,0,34,3,5.000000,7,1,1,0,0,1
0,0,0,30,0,34,3,5.000000,7,1,1,0,0,1
0,0,0,30,0,34,3,5.000000,7,1,1,0,0,1
0,0,0,30,0,34,3,5.000000,7,1,1,0,0,1
0,0,0,30,0,34,3,5.000000,7,1,1,0,0,1
0,0,0,30,0,34,3,5.000000,7,1,1,0,0,1
0,0,0,30,0,34,3,5.000000,7,1,1,0,0,1
0,0,0,30,0,34,3,5.000000,7,1,1,0,0,1
0,0,0,30,0,34,3,5.000000,7,1,1,0,0,1
0,0,0,30,0,34,3,5.000000,7,1,1,0,0,1
