patch,width,theme,components,panels,modules,min_width,overflow_cols,fallback_rate,sidebar_hidden,minimap_hidden,min_contrast,degraded
optimizer_latency,120,terminal,2,2,2,36,0,0.0000,0,0,,0
modifier_switch_passthrough,120,classic,21,2,2,340,220,0.0000,0,0,5.2520,1
influence_outlier,80,terminal,20,2,2,324,244,0.0000,1,1,,1
multi_module_p2b8,12,mono,36,1,2,292,280,1.0000,1,1,1.0000,1
cable_banner_combos,80,terminal,2,2,2,36,0,0.0000,1,1,,0
source_navigation,120,mono,26,2,2,420,300,0.0000,0,0,1.0000,1
switch_value,100,terminal,2,1,1,34,0,0.0000,0,1,,0
led_pairs,80,classic,34,1,2,292,212,0.0000,1,1,5.2520,1
render_outlier_matrix,80,mono,22,3,3,358,278,0.0000,1,1,1.0000,1
physical_multirow_rack,310,terminal,289,2,17,310,0,0.0000,0,0,,0
influence_outlier,80,mono,20,2,2,324,244,0.0000,1,1,1.0000,1
graph_edge_kinds,12,terminal,18,1,1,290,278,1.0000,1,1,,1
led_pairs,332,terminal,34,1,2,292,0,0.0000,0,0,,0
droid_mpfs5drum,100,terminal,57,4,4,920,820,0.0000,0,1,,1
optimizer_latency,80,mono,2,2,2,36,0,0.0000,1,1,1.0000,1
source_navigation,12,classic,26,2,2,420,408,1.0000,1,1,5.2520,1
droid_mpfs5melody2,80,mono,91,6,6,1468,1388,0.0000,1,1,1.0000,1
graph_latency_backedge,12,mono,18,1,1,290,278,1.0000,1,1,1.0000,1
graph_latency_error,330,terminal,18,1,1,290,0,0.0000,0,0,,0
droid_mpfs5melody2,12,mono,91,6,6,1468,1456,1.0000,1,1,1.0000,1
optimizer_latency,12,mono,2,2,2,36,24,1.0000,1,1,1.0000,1
multi_module_p2b8,332,classic,36,1,2,292,0,0.0000,0,0,5.2520,0
modifier_switch_passthrough,120,mono,21,2,2,340,220,0.0000,0,0,1.0000,1
source_navigation,80,classic,26,2,2,420,340,0.0000,1,1,5.2520,1
render_outlier_matrix,398,terminal,22,3,3,358,0,0.0000,0,0,,0
droid_mpfs5melody2,120,terminal,91,6,6,1468,1348,0.0000,0,0,,1
alg27_2,12,mono,37,3,4,440,428,1.0000,1,1,1.0000,1
influence_outlier,364,terminal,20,2,2,324,0,0.0000,0,0,,0
graph_latency_backedge,100,mono,18,1,1,290,190,0.0000,0,1,1.0000,1
graph_latency_backedge,120,mono,18,1,1,290,170,0.0000,0,0,1.0000,1
graph_topology_error,120,mono,18,1,1,290,170,0.0000,0,0,1.0000,1
graph_latency_fanout,100,classic,18,1,1,290,190,0.0000,0,1,5.2520,1
graph_edge_kinds,100,terminal,18,1,1,290,190,0.0000,0,1,,1
multi_module_p2b8,120,terminal,36,1,2,292,172,0.0000,0,0,,1
graph_latency_chain,120,terminal,18,1,1,290,170,0.0000,0,0,,1
source_navigation,420,terminal,26,2,2,420,0,0.0000,0,0,,0
optimizer_latency,12,classic,2,2,2,36,24,1.0000,1,1,5.3172,1
led_pairs,100,terminal,34,1,2,292,192,0.0000,0,1,,1
graph_topology_error,80,terminal,18,1,1,290,210,0.0000,1,1,,1
graph_topology_error,12,mono,18,1,1,290,278,1.0000,1,1,1.0000,1
graph_edge_kinds,80,classic,18,1,1,290,210,0.0000,1,1,5.2520,1
render_outlier_matrix,120,terminal,22,3,3,358,238,0.0000,0,0,,1
arpeggio1,12,mono,14,2,2,228,216,1.0000,1,1,1.0000,1
switch_value,12,mono,2,1,1,34,22,1.0000,1,1,1.0000,1
label_i4_empty,332,terminal,18,2,2,292,0,0.0000,0,0,,0
led_pairs_kinds,170,terminal,8,1,1,130,0,0.0000,0,0,,0
droid_mpfs5drum,120,mono,57,4,4,920,800,0.0000,0,0,1.0000,1
multi_module_p2b8,332,terminal,36,1,2,292,0,0.0000,0,0,,0
graph_edge_kinds,12,classic,18,1,1,290,278,1.0000,1,1,5.2520,1
droid_mpfs5melody2,1468,terminal,91,6,6,1468,0,0.0000,0,0,,0
droid_mpfs5melody2,80,terminal,91,6,6,1468,1388,0.0000,1,1,,1
arpeggio1,12,classic,14,2,2,228,216,1.0000,1,1,5.2520,1
graph_latency_fanout,12,mono,18,1,1,290,278,1.0000,1,1,1.0000,1
source_navigation,100,mono,26,2,2,420,320,0.0000,0,1,1.0000,1
graph_latency_backedge,100,classic,18,1,1,290,190,0.0000,0,1,5.2520,1
cable_banner_combos,120,classic,2,2,2,36,0,0.0000,0,0,5.2520,0
led_pairs_kinds,120,classic,8,1,1,130,10,0.0000,0,0,5.2520,1
optimizer_latency,80,classic,2,2,2,36,0,0.0000,1,1,5.3172,0
led_pairs,100,mono,34,1,2,292,192,0.0000,0,1,1.0000,1
graph_latency_fanout,330,classic,18,1,1,290,0,0.0000,0,0,5.2520,0
influence_outlier,120,classic,20,2,2,324,204,0.0000,0,0,5.2520,1
modifier_switch_passthrough,80,terminal,21,2,2,340,260,0.0000,1,1,,1
source_navigation,80,mono,26,2,2,420,340,0.0000,1,1,1.0000,1
influence_outlier,324,classic,20,2,2,324,0,0.0000,0,0,5.2520,0
led_pairs_kinds,100,mono,8,1,1,130,30,0.0000,0,1,1.0000,1
graph_latency_backedge,80,classic,18,1,1,290,210,0.0000,1,1,5.2520,1
led_pairs,12,mono,34,1,2,292,280,1.0000,1,1,1.0000,1
led_pairs_kinds,80,classic,8,1,1,130,50,0.0000,1,1,5.2520,1
graph_edge_kinds,330,classic,18,1,1,290,0,0.0000,0,0,5.2520,0
graph_latency_fanout,80,terminal,18,1,1,290,210,0.0000,1,1,,1
graph_latency_chain,12,mono,18,1,1,290,278,1.0000,1,1,1.0000,1
cable_banner_combos,100,terminal,2,2,2,36,0,0.0000,0,1,,0
graph_latency_backedge,290,terminal,18,1,1,290,0,0.0000,0,0,,0
arpeggio1,100,classic,14,2,2,228,128,0.0000,0,1,5.2520,1
graph_edge_kinds,120,terminal,18,1,1,290,170,0.0000,0,0,,1
switch_value,100,mono,2,1,1,34,0,0.0000,0,1,1.0000,1
graph_latency_chain,330,terminal,18,1,1,290,0,0.0000,0,0,,0
optimizer_latency,120,classic,2,2,2,36,0,0.0000,0,0,5.3172,0
graph_latency_fanout,100,terminal,18,1,1,290,190,0.0000,0,1,,1
graph_latency_error,12,terminal,18,1,1,290,278,1.0000,1,1,,1
render_outlier_matrix,120,classic,22,3,3,358,238,0.0000,0,0,5.2520,1
